msoa,mode,time,area_m2,area_deg2
E02002439,CAR,15minutes,144277572.0135554,0.0036729900000000435
E02002440,CAR,15minutes,184946487.62683606,0.0047095150000000235
E02002441,CAR,15minutes,175652497.30743966,0.004473770000000044
E02002442,CAR,15minutes,287186837.3554308,0.007312769999999778
E02002443,CAR,15minutes,132489823.39290136,0.00337564500000007
E02002444,CAR,15minutes,168498940.2981429,0.004292059999999924
E02002445,CAR,15minutes,136091006.86673483,0.003467919999999977
E02002446,CAR,15minutes,67141485.00856224,0.0017108650000000293
E02002447,CAR,15minutes,280863744.6064395,0.007157435000000004
E02002448,CAR,15minutes,630512990.4945743,0.016070699999999962
E02002449,CAR,15minutes,269937900.28944135,0.006877039999999957
E02002450,CAR,15minutes,184715636.96522117,0.004708075000000073
E02002451,CAR,15minutes,137515344.15534547,0.0035060250000000562
E02002452,CAR,15minutes,159198118.15491107,0.004059395000000069
E02002453,CAR,15minutes,165019930.20075464,0.004208835
E02002454,CAR,15minutes,113841533.07244897,0.002903840000000015
E02002455,CAR,15minutes,164189780.70840743,0.004188170000000052
E02002456,CAR,15minutes,118786008.79226649,0.003030804999999988
E02002457,CAR,15minutes,110771034.21772677,0.0028263200000000783
E02002458,CAR,15minutes,183185845.79627758,0.004673279999999956
E02002459,CAR,15minutes,116860367.00487329,0.0029818450000000216
E02002460,CAR,15minutes,169522144.5895919,0.004327150000000057
E02002461,CAR,15minutes,193763785.69754067,0.0049420450000000156
E02002462,CAR,15minutes,145416254.78970993,0.0037125349999999704
E02002463,CAR,15minutes,144362485.44910985,0.003686020000000008
E02002464,CAR,15minutes,208339436.2724498,0.0053194750000000466
E02002465,CAR,15minutes,137405441.54912123,0.003509614999999995
E02002466,CAR,15minutes,102634758.31065135,0.002620934999999931
E02002467,CAR,15minutes,154972653.44316128,0.003958690000000044
E02002468,CAR,15minutes,101754203.29210202,0.0025995749999999595
E02002469,CAR,15minutes,158729546.68616325,0.004056000000000032
E02002470,CAR,15minutes,251181256.2378893,0.00642328000000002
E02002471,CAR,15minutes,856188.3574994288,2.188499999999381e-05
E02002472,CAR,15minutes,962890.9396887902,2.462499999998041e-05
E02002473,CAR,15minutes,257934044.81629723,0.00659676500000001
E02002474,CAR,15minutes,242932214.75214937,0.006217645000000052
E02002475,CAR,15minutes,314288167.32380956,0.008039450000000184
E02002476,CAR,15minutes,127410779.0377579,0.0032594300000000666
E02002477,CAR,15minutes,230027088.823261,0.0058873450000000264
E02002478,CAR,15minutes,341167304.4978923,0.008734255000000052
E02002479,CAR,15minutes,365917446.14329815,0.009374824999999915
E02002480,CAR,15minutes,247772789.91636837,0.006347849999999861
E02002481,CAR,15minutes,340027005.22603035,0.00871560999999999
E02002482,CAR,15minutes,196004439.69183898,0.005021985000000149
E02002483,CAR,15minutes,211351239.7632231,0.005105319999999989
E02002484,CAR,15minutes,84868032.22895432,0.002050465000000061
E02002485,CAR,15minutes,195996544.4915002,0.004736445000000003
E02002487,CAR,15minutes,197084104.78675723,0.004764314999999976
E02002488,CAR,15minutes,221850769.2398438,0.005363499999999883
E02002489,CAR,15minutes,177018307.4349673,0.004281039999999946
E02002490,CAR,15minutes,170221805.69305545,0.004119679999999956
